-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2012 through 01/01/2018 in LST
Location: Latitude  4.7959   Longitude -75.6817 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2138.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M            MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS2M,WD2M
2012,1,1,0,13.37,100.0,0.02,0.58,153.4
2012,1,1,1,12.97,100.0,0.02,0.58,157.8
2012,1,1,2,12.57,100.0,0.03,0.58,157.8
2012,1,1,3,12.24,100.0,0.04,0.62,157.2
2012,1,1,4,11.87,100.0,0.04,0.64,156.2
2012,1,1,5,11.41,100.0,0.03,0.65,155.4
2012,1,1,6,11.32,100.0,0.04,0.56,150.3
2012,1,1,7,13.44,92.61,0.0,0.4,141.1
2012,1,1,8,16.26,79.29,0.0,0.38,141.3
2012,1,1,9,18.49,70.04,0.0,0.3,151.7
2012,1,1,10,19.99,64.25,0.0,0.22,180.0
2012,1,1,11,21.07,60.56,0.0,0.23,203.2
2012,1,1,12,21.63,58.78,0.0,0.25,223.4
2012,1,1,13,21.88,57.96,0.0,0.3,237.4
2012,1,1,14,21.57,58.97,0.0,0.31,245.1
2012,1,1,15,20.91,62.55,0.0,0.29,249.7
2012,1,1,16,19.84,71.53,0.0,0.25,256.0
2012,1,1,17,18.36,85.59,0.0,0.16,256.0
2012,1,1,18,16.69,94.14,0.0,0.05,111.8
2012,1,1,19,15.72,95.99,0.0,0.17,113.6
2012,1,1,20,15.16,96.61,0.0,0.33,131.3
2012,1,1,21,14.75,96.85,0.0,0.45,144.9
2012,1,1,22,14.28,97.74,0.0,0.54,164.9
2012,1,1,23,13.66,99.77,0.0,0.62,180.0
2012,1,2,0,13.13,100.0,0.0,0.64,193.6
2012,1,2,1,13.4,99.39,0.0,0.61,217.6
2012,1,2,2,13.48,98.45,0.0,0.55,225.0
2012,1,2,3,12.88,100.0,0.0,0.66,211.3
2012,1,2,4,12.33,100.0,0.0,0.71,197.9
2012,1,2,5,11.91,100.0,0.0,0.72,181.6
2012,1,2,6,11.78,100.0,0.0,0.66,167.8
2012,1,2,7,13.76,93.6,1.26,0.45,158.0
